"281","                    Land-line telephone services, local charges",18252,18130,18086,17949,17748,17454,17254,17725,17663,17721,17515
"282","                    Land-line telephone services, long-distance charges",9337,9301,9327,9329,9322,9241,9185,9462,9497,9598,9555
"283","                    Cellular telephone services",132728,131916,132543,132695,132477,130756,132725,135626,138305,140409,141780
"284","                Postal and delivery services (68)",13061,13301,13335,13411,13861,14843,15322,16025,16401,16767,16905
"285","                    First-class postal service (by U.S. Postal Service)",5846,5915,5812,5816,5823,5451,5553,5564,5534,5526,5565
"286","                    Other delivery services (by non-U.S. postal facilities)",7215,7386,7523,7595,8037,9392,9769,10461,10867,11241,11340
"287","                Internet access (72)",74059,74339,74500,74007,74826,74376,74984,77311,78250,79844,80015
"288","            Education services",294041,296792,299727,302454,303494,271695,281005,274823,279296,287911,294851
"289","                Higher education (97)",188425,189841,190983,192299,194529,184844,186904,179641,181868,186701,189156
"290","                    Proprietary and public higher education",108509,109506,110152,111054,112145,108209,109074,106080,107030,109056,110070
"291","                    Nonprofit private higher education services to households",79916,80335,80831,81245,82384,76636,77829,73560,74837,77645,79086
"292","                Nursery, elementary, and secondary schools (98)",50085,50702,51451,51769,52727,43617,46905,47561,48614,50264,51712
"293","                    Elementary and secondary schools",35420,35687,35881,36218,36649,34584,34914,35412,36033,36920,38189
"294","                    Day care and nursery schools",14665,15015,15569,15551,16077,9033,11992,12149,12581,13344,13524
"295","                Commercial and vocational schools (99)",55531,56250,57294,58386,56238,43234,47196,47621,48815,50946,53983
"296","            Professional and other services (121)",201974,201714,207065,208902,205763,190348,195816,202011,210922,205153,212365
"297","                Legal services",108963,108664,113105,113811,113977,106884,107846,113041,120882,114895,119297
"298","                Accounting and other business services",40899,41018,41814,42004,41731,36121,38231,38388,36459,38523,39695
"299","                    Tax preparation and other related services",27342,27231,27828,27979,28104,25244,27235,27342,26692,28320,29197
"300","                    Employment agency services",1891,1919,1941,1963,1654,445,486,504,529,532,530
"301","                    Other personal business services",11666,11869,12046,12063,11973,10432,10510,10542,9239,9670,9969
"302","                Labor organization dues",13952,14081,14259,14532,14716,13755,14054,14111,13886,14458,14673
"303","                Professional association dues",10856,10781,10317,11325,7704,5488,5726,6103,6050,7106,7516
"304","                Funeral and burial services",27304,27169,27570,27230,27635,28101,29960,30367,33645,30171,31184
"305","            Personal care and clothing services (14 and parts of 17 and 118)",174393,171733,180724,184467,167778,66664,100217,106965,113733,131000,143026
"306","                Personal care services",157985,154940,163980,167625,151128,53966,85880,92487,98508,115286,126771
"307","                    Hairdressing salons and personal grooming establishments",80790,76996,82233,84747,72154,19341,34312,39571,41159,48292,53769
"308","                    Miscellaneous personal care services",77195,77944,81747,82878,78974,34625,51568,52916,57349,66994,73002
"309","                Clothing and footwear services",16408,16794,16744,16842,16650,12698,14337,14478,15225,15714,16256
"310","                    Laundry and drycleaning services",11983,12225,12158,12221,12106,9295,10477,10579,11130,11482,11867
"311","                    Clothing repair, rental, and alterations",4059,4211,4228,4260,4200,3214,3614,3644,3834,3956,4088
"312","                    Repair and hire of footwear",366,358,358,361,344,189,247,255,261,276,300
"313","            Social services and religious activities (120)",209457,213315,216267,218407,214463,189314,203946,210746,209995,219270,223650
"314","                Child care",42736,43683,45175,44913,46892,25568,33749,34382,35571,38013,38630
"315","                Social assistance",136063,139063,141498,141755,143487,142903,148669,153866,151894,156127,158763
"316","                    Homes for the elderly",30312,30751,31206,31688,31587,31967,31396,32029,32017,32115,32696
"317","                    Residential mental health and substance abuse",13519,13746,13987,14200,14386,14629,14380,14675,14727,14774,15041
"318","                    Individual and family services",65046,66439,67861,67809,69261,66515,74665,74342,74909,77754,78273
"319","                    Vocational rehabilitation services",10781,11473,11308,11231,10694,8605,9455,10846,10323,12131,12980
"320","                    Community food and housing / emergency / other relief services",10668,10894,11326,10955,11615,15229,12835,15905,13728,13071,13377
"321","                    Other social assistance, not elsewere classified",5737,5760,5809,5873,5943,5959,5937,6068,6190,6283,6396
"322","                Social advocacy and civic and social organizations",16890,16648,15843,17330,11774,9305,9661,10296,10206,11988,12685
"323","                Religious organizations' services to households",7626,7772,7829,7876,7854,7727,7884,7951,8110,8193,8335
"324","                Foundations and grantmaking and giving services to households",6141,6149,5922,6532,4458,3811,3984,4251,4214,4949,5236
"325","            Household maintenance (parts of 31, 33, and 36)",93534,94472,95875,96024,95732,88852,92469,94000,97574,99709,101141
"326","                Domestic services",32256,32378,32490,32601,32305,30038,30052,30105,30293,30530,30816
"327","                Moving, storage, and freight services",19378,19480,19785,19732,19675,16896,19071,19751,20869,21655,22561
"328","                Repair of furniture, furnishings, and floor coverings",1376,1362,1355,1278,1225,1205,1364,1309,1477,1489,1479
"329","                Repair of household appliances",7372,7399,7428,7417,7629,7241,8247,8098,8973,8986,8942
"330","                Other household services",33152,33853,34816,34995,34897,33472,33736,34738,35962,37049,37343
"331","            Net foreign travel",-24180,-17864,-12567,-9221,-13783,-39152,-20950,-8578,-13835,-3409,31649
"332","                Foreign travel by U.S. residents (129)",177116,185443,187116,194012,135656,12210,23502,44598,46537,71974,107493
"333","                    Passenger fares for foreign travel",62303,70221,68800,71936,52159,3710,10112,16524,17117,28059,42050
"334","                    U.S. travel outside the United States",103694,103438,105205,109642,72402,2009,9057,23489,24682,39352,59413
"335","                    U.S. student expenditures",11119,11785,13110,12434,11095,6491,4333,4585,4738,4563,6030
"336","                Less: Expenditures in the United States by nonresidents (130)",201296,203307,199682,203233,149439,51362,44453,53176,60372,75383,75844
"337","                    Foreign travel in the United States",152269,153228,151686,154210,101017,3673,13574,23235,29179,42799,44452
"338","                    Medical expenditures of foreigners",1142,1145,1209,1199,839,23,56,166,162,162,160
"339","                    Expenditures of foreign students in the United States",47884,48934,46787,47823,47583,47667,30823,29775,31031,32422,31232
"340","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) (132)",436096,437295,445306,440862,520500,577046,494552,491404,478725,467067,477244
"341","        Gross output of nonprofit institutions (133)",1625067,1637800,1650359,1661093,1668094,1585346,1640154,1685469,1672731,1708519,1744811
"342","            Health, gross output",961890,972981,982420,986540,987376,948071,971552,995095,1001161,1021481,1046245
"343","                Outpatient services, gross output",98698,100326,101862,100995,101849,94903,99512,101265,100930,103729,106049
"344","                Nonprofit hospitals, gross output",793599,801909,810411,815397,813457,781791,801890,823620,831014,847035,866896
"345","                Nonprofit nursing homes, gross output",69593,70746,70146,70148,72070,71377,70149,70209,69217,70717,73300
"346","            Recreation services, gross output",57147,58477,60384,58188,57327,39885,43532,46694,44567,47899,48928
"347","            Education services, gross output",207826,206748,208919,211019,213407,196520,203742,201108,204881,210337,216301
"348","            Social services, gross output",163972,167950,169321,167233,173322,168992,176899,185617,180589,182828,187064
"349","            Religious organizations, gross output",98166,100018,100544,100750,100504,99613,101326,102031,104048,105113,106943
"350","            Foundations and grantmaking and giving establishments, gross output",43480,43035,42270,45000,39552,37704,39398,39505,41112,42641,43470
"351","            Social advocacy establishments, gross output",24861,24758,24405,26007,22820,21894,22858,22911,23843,24729,25210
"352","            Civic and social organizations, gross output",14128,14072,13870,14774,12953,11948,12469,12496,13004,13488,13750
"353","            Professional advocacy, gross output",53598,49760,48227,51580,60832,60719,68377,80012,59526,60004,56901
"354","        Less: Receipts from sales of goods and services by nonprofit institutions (134)",1188971,1200505,1205054,1220230,1147594,1008300,1145602,1194065,1194006,1241452,1267566
"355","            Health services to households",907649,917211,920767,932691,869821,758260,886855,930536,933888,965794,983783
"356","                Outpatient services to households",85275,86453,86583,87073,85060,77457,86230,90049,87723,92347,94102
"357","                Nonprofit hospitals services to households",761506,770094,773607,784551,723859,623454,744576,782856,789585,814545,832946
"358","                Nonprofit nursing homes services to households",60869,60665,60577,61068,60902,57349,56049,57631,56580,58903,56735
"359","            Recreation services to households",25867,25684,26039,25569,23511,13990,15605,16606,15893,17604,18689
"360","            Education services to households",124871,125602,126609,127205,128095,118572,120825,117404,118989,123640,127052
"361","            Social services to households",70640,72109,72819,72491,74978,73000,76579,82081,77719,82918,84611
"362","            Religious organizations' services to households",7626,7772,7829,7876,7854,7727,7884,7951,8110,8193,8335
"363","            Foundations and grantmaking and giving services to households",6141,6149,5922,6532,4458,3811,3984,4251,4214,4949,5236
"364","            Services of social advocacy establishments to households",2157,2137,2041,2235,1517,1303,1358,1448,1435,1686,1783
"365","            Civic and social organizations' services to households",7644,7577,7241,7940,5399,4450,4644,4951,4907,5764,6098
"366","            Professional advocacy services to households",36376,36263,35787,37689,31961,27186,27867,28837,28852,30905,31978
"","Additional aggregates:","","","","","","","","","","",""
"367","    Control group",3557425,3617097,3660936,3670713,3736591,3668817,4029468,4017329,4285875,4446611,4477152
"368","    PCE food and energy",1581838,1612279,1613911,1626486,1655078,1588498,1648748,1641905,1754019,1821835,1883376
"369","    PCE energy goods and services1",568397,584914,572571,584989,529941,436384,489257,491943,552486,598471,636423
"370","    PCE excluding food",13142111,13348356,13488140,13612451,13313952,11837615,13134341,13317649,13803910,14458335,14705398
"371","    PCE excluding energy",13587155,13790808,13956909,14068960,13909148,12553344,13804575,13975668,14452958,15083227,15315929
"372","    PCE excluding food and energy2",12573714,12763443,12915569,13027462,12784011,11401230,12645084,12825706,13251424,13859864,14068976
"373","    PCE goods excluding food and energy2",3045510,3101869,3138540,3155636,3100638,3009276,3462265,3469375,3743204,3960976,3881836
"374","    PCE services excluding energy",9528204,9661573,9777029,9871826,9683373,8391954,9182819,9356330,9508220,9898888,10187140
"","Market-based personal consumption expenditures (PCE):","","","","","","","","","","",""
"375","        Market-based PCE",12288303,12490219,12621958,12729262,12465521,11063509,12332369,12471787,12988473,13608041,13810106
"","Durable goods:","","","","","","","","","","",""
"376","    Market-based PCE motor vehicles and parts",440204,453411,461455,467298,429220,432253,529445,538817,603407,669792,582048
"377","    Market-based PCE durable goods other than motor vehicles and parts",973219,996671,1012439,1012631,1002945,983045,1157503,1157080,1282935,1334098,1327808
"","Nondurable goods:","","","","","","","","","","",""
"378","    Market-based PCE food and beverages purchased for off-premises consumption",1012971,1026881,1040845,1040997,1124634,1151608,1158982,1149449,1201016,1222842,1246430
"379","    Market-based PCE clothing and footwear",392916,397836,399548,400570,365820,293198,393812,395179,436397,476530,480345
"380","    Market-based PCE gasoline and other energy goods",323855,350140,332828,343650,305160,188522,245433,247914,300287,345451,377085
"381","    Market-based PCE other nondurable goods",1167613,1183023,1195555,1203837,1238133,1236588,1304074,1302942,1338844,1381832,1395314
"","Services:","","","","","","","","","","",""
"382","    Market-based PCE services",7977525,8082256,8179287,8260279,7999608,6778295,7543120,7680405,7825587,8177496,8401076
"","        Of which:","","","","","","","","","","",""
"383","        Market-based PCE housing services",2160924,2188494,2213868,2238223,2264259,2285334,2302707,2318281,2336149,2360267,2388106
"384","        Market-based PCE household utilities",351842,343609,349303,351218,335625,359425,356726,358199,367672,369673,377530
"385","        Market-based PCE health care",2408726,2449708,2469921,2504266,2406893,2000289,2369192,2457229,2464208,2534433,2578450
"386","        Market-based PCE transportation services",479631,492203,502172,507255,467287,291235,342457,352785,356800,417315,457861
"387","        Market-based PCE recreation services",434408,441129,441567,449104,410492,238179,284570,292384,304712,338807,355900
"388","        Market-based PCE food services and accommodations",964399,984278,996657,997130,910930,599603,810493,806576,869179,1009109,1064244
"389","        Market-based PCE financial services and insurance",140201,144303,146459,146206,153664,130890,141003,143439,146264,138974,140647
"390","        Market-based PCE other services",1037394,1038533,1059339,1066878,1050459,873339,935974,951512,980602,1008918,1038338
"","            Of which:","","","","","","","","","","",""
"391","            Market-based PCE communication services",247437,246988,247792,247391,248234,246670,249470,256149,260117,264340,265770
"392","            Market-based PCE education",294041,296792,299727,302454,303494,271695,281005,274823,279296,287911,294851
"393","            Market-based PCE professional services",188022,187632,192806,194370,191048,176593,181763,187899,197036,190695,197691
"394","            Market-based PCE personal care and clothing services",174393,171733,180724,184467,167778,66664,100217,106965,113733,131000,143026
"395","            Market-based PCE child care",42736,43683,45175,44913,46892,25568,33749,34382,35571,38013,38630
"396","            Market-based PCE household maintenance",90765,91704,93115,93282,93014,86150,89770,91293,94847,96960,98370
"397","Market-based PCE food and energy",1581368,1611795,1613416,1625986,1654575,1587993,1648239,1641392,1753502,1821314,1882853
"398","Market-based PCE excluding food",11275332,11463337,11581112,11688265,11340887,9911901,11173388,11322338,11787457,12385198,12563676
"399","Market-based PCE excluding energy",11719906,11905305,12049386,12144273,11935580,10627125,11843112,11979843,12435987,13009569,13173684
"400","Market-based PCE excluding food and energy",10706935,10878424,11008541,11103276,10810946,9475516,10684131,10830394,11234971,11786727,11927253
"Legend / Footnotes:"
"n.e.c. Not elsewhere classified"
"1. Consists of gasoline and other energy goods and of electricity and gas services."
"2. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food."
"Note.The figures in parentheses are the line numbers of the corresponding items in table 2.5.5."
